Date,Publications,Experiments
2009-08-21,3967,11168
2009-09-04,3999,11250
2009-09-18,4017,11319
2009-10-09,4052,11442
2009-10-30,4080,11534
2009-11-27,4105,11624
2010-01-01,4130,11697
2010-01-15,4160,11790
2010-01-22,4171,11830
2010-02-12,4213,11966
2010-03-19,4246,12093
2010-04-23,4288,12270
2010-05-07,4306,12346
2010-05-24,4315,12389
2010-06-18,4330,12437
2010-07-23,4356,12559
2010-07-30,4363,12574
2010-08-05,4372,12597
2010-08-18,4385,12630
2010-09-03,4396,12670
2010-10-07,4443,12835
2010-11-03,4460,12884
2010-11-11,4461,12886
2010-12-03,4483,12975
2010-12-15,4516,13082
2011-01-10,4522,13111
2011-02-01,4546,13183
2011-02-22,4565,13238
2011-03-03,4577,13267
2011-04-01,4626,13412
2011-04-19,4716,13681
2011-06-17,4750,13803
2011-07-27,4841,14114
2011-08-18,4861,14179
2011-09-14,4931,14483
2011-10-03,4975,14667
2011-10-28,5022,14864
2011-11-21,5079,15099
2012-01-09,5143,15313
2012-02-11,5214,15591
2012-03-21,5278,15836
2012-05-01,5307,15952
2012-06-15,5399,16310
2012-07-19,5445,16485
2012-08-20,5546,16876
2012-10-11,5620,17120
2012-11-13,5641,17205
2012-11-14,5696,17400
2012-12-17,5913,17878
2013-02-01,6084,18220
2013-02-28,6240,18604
2013-03-27,6279,18727
2013-04-13,6293,18761
2013-05-03,6316,18825
2013-06-10,6388,19105
2013-06-19,6407,19155
2013-06-26,6423,19203
2013-08-02,6490,19450
2013-08-09,6524,19544
2013-09-02,11743,30760
2013-09-30,11883,31187
2013-10-11,11917,31300
2013-10-28,11984,31500
2013-11-22,12082,31796
2014-01-10,12243,32328
2014-02-18,12378,32711
2014-03-10,12460,32957
2014-03-31,12506,33075
2014-04-14,12517,33119
2014-05-01,12545,33215
2014-06-09,12678,33603
2014-07-21,12792,33919
2014-09-18,12911,34338
2014-10-20,12959,34480
2014-11-12,13006,34641
2014-12-22,13141,35104
2015-01-22,13204,35276
2015-02-25,13326,35675
2015-04-10,13407,35966
2015-06-15,13529,36354
2015-06-29,13547,36421
2015-08-25,13651,36743
2015-10-21,13736,36987
2015-12-02,13797,37175
2016-01-13,13847,37289
2016-01-19,13855,37305
2016-02-22,13918,37518
2016-04-11,13995,37788
2016-06-22,14089,38070
2016-07-13,14111,38124
2016-08-03,14142,38236
2016-09-13,14191,38427
2016-10-14,14248,38562
2016-12-19,14296,38731
2017-01-31,14340,38899
2017-03-13,14401,39099
2017-04-10,14429,39197
2017-06-08,14491,39392
2017-07-12,14532,39604
2017-08-31,19890,65602
2017-09-05,19898,65632
2017-11-14,19972,65882
2017-12-18,20015,66011
2018-02-14,20048,66116
2018-03-27,20097,66269
2018-05-16,20126,66367
2018-06-22,20180,66549
2018-08-08,20268,66816
2018-09-10,20297,66863
2018-10-08,20331,66949
2018-11-05,20363,67032
2018-12-04,20411,67168
2019-02-15,20496,67397
2019-03-25,20532,67488
2019-05-09,20568,67585
2019-07-22,20740,68161
2019-08-30,20804,68326
2019-10-03,20883,68551
2019-11-20,21005,68849
2019-12-19,21082,69095
2020-02-03,21154,69282
2020-03-13,21283,69637
2020-04-03,21343,69759
2020-05-04,21435,70047
2020-07-09,21636,70563
2020-09-28,21830,71039
2020-11-11,21927,71310
2020-12-23,22032,71573
2021-03-15,22224,71992
2021-05-18,22364,72363
2021-07-12,22493,72652
2021-10-13,22691,73175
