Organism,Reference,Percentage,Proteins
H. sapiens,20360,84.37,17177
M. musculus,17085,43.85,7491
A. thaliana,16058,37.81,6072
R. norvegicus,8133,31.97,2600
C. elegans,4305,45.81,1972
D. melanogaster,3625,82.73,2999
S. cerevisiae,6050,92.08,5571
E. coli,4390,74.03,3250
Synechocystis sp.,1085,63.69,691
C. jejuni,467,83.73,391
SARS-CoV-2,16,81.25,13
